Utterance,Intent,Source,Training/Test,Source,Notes, 
can you set a reminder for me to pay that,set_reminder,Synthetic,Training ,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
can you remind the day before itʻs due,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
make a reminder today,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me to pay that,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
iʻll need you to remind me to pay this,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
iʻm not going to remember to pay this,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me to pay that the day before itʻs due,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me when itʻs due,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
set up a reminder for me,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me to pay it,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
i canʻt pay it now can youu remind me later,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
just remind me to do it later,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind later,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me to take care of it tomorrow,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me next week,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
canʻt pay it now remind me to pay when itʻs due,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
"iʻll pay it later, remind me when it is due",set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
going to pay it next week remind me then,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
iʻll pay next week remind me then please,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
please remind me on thursday to pay it,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
can you set a reminder   ,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me next time I have a payment due,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
"for next time, can you remind me to pay it",set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me to pay this next Monday once my paycheck clears,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
I need you to remind me to pay this on the 1st of next month,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
need to set an alarm to remind me to pay this next Wednesday,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
need a reminder set to tell me to pay this on Saturday,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me on Sunday to pay this,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
set a reminder for Monday the 15th to pay it then,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me to pay this on the 20th of the month,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
set a reminder three days before this is due so I can pay it early,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
can you remind me to pay this a couple days early next time,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
Set up recurring reminders to pay this on the 15th of each month,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
is it possible for you to remind me when I need to pay this,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
is it a possibility to set an alarm or calendar reminder to pay this every month,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
do you have a payment reminder system that I can use,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
remind me to pay this on the first of each month please,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
create a reminder,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,
can you remind me to pay this tomorrow,set_reminder,Synthetic,Training,User asks to be reminded to pay the bill at a later date. They can specify a day but they do not have to,follow-up utt in Make Payment flow,